KPI Dashboard Year-over-Year - Industrial Corp,,,,,,,
2024 IST vs 2025 IST | Mixed Units,,,,,,,
KPI,Unit,2024 IST,2025 IST,YoY Δ,YoY %,Target 2025,vs Target
FINANCIAL KPIs,,,,,,,
Revenue,EUR m,245,269.5,24.5,0.1,275,-5.5
Gross Margin,%,42.5,43.2,0.7,0.02,44,-0.8
EBITDA,EUR m,44.1,50.2,6.1,0.14,52,-1.8
EBITDA Margin,%,18,18.6,0.6,0.03,19,-0.4
Net Profit,EUR m,22.1,25.9,3.8,0.17,27,-1.1
ROIC,%,12.5,13.2,0.7,0.06,14,-0.8
OPERATIONAL KPIs,,,,,,,
Order Intake,EUR m,265,291.5,26.5,0.1,295,-3.5
Book-to-Bill,x,1.08,1.08,0,0,1.07,0.01
Backlog,EUR m,185,207.5,22.5,0.12,210,-2.5
OTD Rate,%,94.2,95.1,0.9,0.01,96,-0.9
Capacity Util.,%,82,85,3,0.04,87,-2
EFFICIENCY KPIs,,,,,,,
Revenue/FTE,TEUR,285,305,20,0.07,310,-5
DSO,Days,52,49,-3,-0.06,45,4
DPO,Days,38,40,2,0.05,42,-2
Inventory Turns,x,5.2,5.5,0.3,0.06,5.8,-0.3
